ID,Job Title,Publishing Date,Start Date,Salary,Duration,Location,Work Mode,Skills,Description,Plateforme,Scrap Date,Company Name,Number of Candidates,Number of Employees,Sector,Description E,Experience,Contract Type,Education
30,Chef Apprentice,2025-07-21T13:32:45Z,N/A,25480 - 25480,N/A,"Burn Bridge, Harrogate",On-site,N/A,"What makes the perfect pub? It’s great ales, delicious food, a welcoming atmosphere, and the warm welcome from a team that’s at the heart of everything we do. The Inn Collection Group is a multi-award-winning pubs with rooms company, proudly located in some of the most outstanding destinations across the North of England and Wales. At ICG, we deliver exceptional hospitality by living and breathing our core values of respect, customer focused, warmth, , and honesty, all with the goal of Making P…",Adzuna,2025-07-21,The Harrogate Inn,N/A,N/A,Hospitality & Catering Jobs,"What makes the perfect pub? It’s great ales, delicious food, a welcoming atmosphere, and the warm welcome from a team that’s at the heart of everything we do. The Inn Collection Group is a multi-award-winning pubs with rooms company, proudly located in some of the most outstanding destinations across the North of England and Wales. At ICG, we deliver exceptional hospitality by living and breathing our core values of respect, customer focused, warmth, , and honesty, all with the goal of Making P…",N/A,N/A,N/A
31,Chef Apprentice,2025-07-21T13:32:45Z,N/A,25480 - 25480,N/A,"Morpeth, Northumberland",On-site,N/A,"What makes the perfect pub? It’s great ales, delicious food, a welcoming atmosphere, and the warm welcome from a team that’s at the heart of everything we do. The Inn Collection Group is a multi-award-winning pubs with rooms company, proudly located in some of the most outstanding destinations across the North of England and Wales. At ICG, we deliver exceptional hospitality by living and breathing our core values of respect, customer focused, warmth, , and honesty, all with the goal of Making P…",Adzuna,2025-07-21,The Amble Inn,N/A,N/A,Hospitality & Catering Jobs,"What makes the perfect pub? It’s great ales, delicious food, a welcoming atmosphere, and the warm welcome from a team that’s at the heart of everything we do. The Inn Collection Group is a multi-award-winning pubs with rooms company, proudly located in some of the most outstanding destinations across the North of England and Wales. At ICG, we deliver exceptional hospitality by living and breathing our core values of respect, customer focused, warmth, , and honesty, all with the goal of Making P…",N/A,N/A,N/A
32,Bank Housekeeper,2025-07-21T13:32:45Z,N/A,12 - 12,N/A,"Nutfield, Redhill",On-site,N/A,"About the role Housekeeper Zero Hour Contract £12.21 per hour What will Aria Care Offer you? Blue Light Discount Card Holiday & days out discounts Long service awards Recognition programme And much more! We have an excellent opportunity for a Housekeeper that takes great pride in maintaining high standards of cleanliness and infection prevention control throughout our home. If you take pride in creating a clean and welcoming home for our residents to live in, a housekeeping role at Aria care is…",Adzuna,2025-07-21,Aria Healthcare,N/A,N/A,Hospitality & Catering Jobs,"About the role Housekeeper Zero Hour Contract £12.21 per hour What will Aria Care Offer you? Blue Light Discount Card Holiday & days out discounts Long service awards Recognition programme And much more! We have an excellent opportunity for a Housekeeper that takes great pride in maintaining high standards of cleanliness and infection prevention control throughout our home. If you take pride in creating a clean and welcoming home for our residents to live in, a housekeeping role at Aria care is…",N/A,contract,N/A
33,Chef de Partie (Live in available),2025-07-21T13:32:45Z,N/A,27851 - 27851,N/A,"East Horsley, Leatherhead",On-site,N/A,"Would you like to join our team as a Chef de Partie at De Vere Horsley Estate, where you'll experience an exciting blend of variety, industry-leading professional development, and a vibrant work environment? As a Chef de Partie you will: • Work in a busy and hardworking team environment, where you’ll continually learn and develop, and have the opportunity to develop your career with De Vere • Showcase your culinary skills by preparing, cooking, and presenting dishes within your speciality • Sup…",Adzuna,2025-07-21,De Vere Horsley Estate,N/A,N/A,Hospitality & Catering Jobs,"Would you like to join our team as a Chef de Partie at De Vere Horsley Estate, where you'll experience an exciting blend of variety, industry-leading professional development, and a vibrant work environment? As a Chef de Partie you will: • Work in a busy and hardworking team environment, where you’ll continually learn and develop, and have the opportunity to develop your career with De Vere • Showcase your culinary skills by preparing, cooking, and presenting dishes within your speciality • Sup…",N/A,permanent,N/A
34,Occupational Therapist Assistant,2025-07-21T13:32:45Z,N/A,35 - 24111,N/A,"Skelsmergh, Kendal",On-site,N/A,"Are you an Occupational Therapy Assistant looking to work for a company that supports, values and recognises your dedication to delivering great healthcare? If so, this might be for you. Join Ann House in Kendal as an Occupational Therapy Assistant and change the lives of people with continuing challenging behaviour and high support needs. Under the supervision of an Occupational Therapist, you will support the service in delivering structured activities and assisting in the planning for indivi…",Adzuna,2025-07-21,Elysium Healthcare,N/A,N/A,Social work Jobs,"Are you an Occupational Therapy Assistant looking to work for a company that supports, values and recognises your dedication to delivering great healthcare? If so, this might be for you. Join Ann House in Kendal as an Occupational Therapy Assistant and change the lives of people with continuing challenging behaviour and high support needs. Under the supervision of an Occupational Therapist, you will support the service in delivering structured activities and assisting in the planning for indivi…",N/A,N/A,N/A
35,Sous Chef - Live in,2025-07-21T13:32:45Z,N/A,N/A,N/A,"Burrow, Carnforth",On-site,N/A,"Are you passionate about creating culinary masterpieces? As a Sous Chef at The Highwayman, Kirkby Lonsdale , you will be an integral part of our kitchen team, contributing to the creation of exceptional dining experiences. The role involves collaborating closely with the Head Chef, leading kitchen operations, and maintaining high standards of food quality, presentation, and service. And there’s plenty in it for you! Your Bread and Butter Basic up to £33,000, plus tronc (that’s your card tips th…",Adzuna,2025-07-21,Brunning & Price,N/A,N/A,Hospitality & Catering Jobs,"Are you passionate about creating culinary masterpieces? As a Sous Chef at The Highwayman, Kirkby Lonsdale , you will be an integral part of our kitchen team, contributing to the creation of exceptional dining experiences. The role involves collaborating closely with the Head Chef, leading kitchen operations, and maintaining high standards of food quality, presentation, and service. And there’s plenty in it for you! Your Bread and Butter Basic up to £33,000, plus tronc (that’s your card tips th…",N/A,N/A,N/A
36,General Assistant,2025-07-21T13:32:45Z,N/A,26000 - 26000,N/A,"Pilgrims Hatch, Brentwood",On-site,N/A,"Company Description General Assistant Middleton Hall Ln, Brentwood CM15, UK Part-time & Fulltime Rate Per Hour: £12.50 Employment Type: Permanent - Term-time Contract Type.: Part Time/fulltime Company Description General Assistant Location: Brentwood School, Middleton Hall Lane, Brentwood CM15 8EE Rate of pay: £12.50ph Hours: 20 - 35 hours per week with paid overtime for evening functions as and when required (5 out of 7 days) Weeks: Term Time only (175 Days) Benefits: 28 days holiday 3 volunte…",Adzuna,2025-07-21,Holroyd Howe,N/A,N/A,Hospitality & Catering Jobs,"Company Description General Assistant Middleton Hall Ln, Brentwood CM15, UK Part-time & Fulltime Rate Per Hour: £12.50 Employment Type: Permanent - Term-time Contract Type.: Part Time/fulltime Company Description General Assistant Location: Brentwood School, Middleton Hall Lane, Brentwood CM15 8EE Rate of pay: £12.50ph Hours: 20 - 35 hours per week with paid overtime for evening functions as and when required (5 out of 7 days) Weeks: Term Time only (175 Days) Benefits: 28 days holiday 3 volunte…",N/A,contract,N/A
37,"Cluster Sales Manager, Malmaison & Hotel Du Vin,",2025-07-21T13:32:45Z,N/A,33953.16 - 33953.16,N/A,"Ardwick, Manchester",On-site,N/A,"Job title: Cluster Sales Manager, Malmaison Rate of pay / Hours: Contract type: Location: A fantastic opportunity to help maximize the revenue across the Malmaison & Hotel Du Vin properties in As Cluster Sales Manager you will drive the Hotels Sales and Marketing plan. Reporting into the General Managers and the National Sales Director you will ensure that both brands are represented whilst actively looking for new opportunities and cross selling all hotels within Mal / HdV. You will manage and…",Adzuna,2025-07-21,MHDV,N/A,N/A,Sales Jobs,"Job title: Cluster Sales Manager, Malmaison Rate of pay / Hours: Contract type: Location: A fantastic opportunity to help maximize the revenue across the Malmaison & Hotel Du Vin properties in As Cluster Sales Manager you will drive the Hotels Sales and Marketing plan. Reporting into the General Managers and the National Sales Director you will ensure that both brands are represented whilst actively looking for new opportunities and cross selling all hotels within Mal / HdV. You will manage and…",N/A,N/A,N/A
38,Chef Apprentice,2025-07-21T13:32:40Z,N/A,25480 - 25480,N/A,"North Lees, Ripon",On-site,N/A,"What makes the perfect pub? It’s great ales, delicious food, a welcoming atmosphere, and the warm welcome from a team that’s at the heart of everything we do. The Inn Collection Group is a multi-award-winning pubs with rooms company, proudly located in some of the most outstanding destinations across the North of England and Wales. At ICG, we deliver exceptional hospitality by living and breathing our core values of respect, customer focused, warmth, , and honesty, all with the goal of Making P…",Adzuna,2025-07-21,The Ripon Inn,N/A,N/A,Hospitality & Catering Jobs,"What makes the perfect pub? It’s great ales, delicious food, a welcoming atmosphere, and the warm welcome from a team that’s at the heart of everything we do. The Inn Collection Group is a multi-award-winning pubs with rooms company, proudly located in some of the most outstanding destinations across the North of England and Wales. At ICG, we deliver exceptional hospitality by living and breathing our core values of respect, customer focused, warmth, , and honesty, all with the goal of Making P…",N/A,N/A,N/A
39,Activities Co-ordinator,2025-07-21T13:32:40Z,N/A,14 - 14,N/A,"St. Peter, Jersey",On-site,N/A,"About the Home L'Hermitage, La Route de Beaumont, St Peter, Jersey, JE3 7HH 41 bedded Residential, Nursing & Dementia care Home Rated 8.4 On Carehome.co.uk About the role Activities Co-ordinator Full time - 40 hours per week - 5 days per week - Alternate weekends required £14.15 per hour What will Aria Care Offer you? Blue Light Discount Card Holiday & days out discounts Long service awards Recognition programme And much more! The key ingredients to being a successful Wellbeing Coordinator is t…",Adzuna,2025-07-21,Aria Healthcare,N/A,N/A,Healthcare & Nursing Jobs,"About the Home L'Hermitage, La Route de Beaumont, St Peter, Jersey, JE3 7HH 41 bedded Residential, Nursing & Dementia care Home Rated 8.4 On Carehome.co.uk About the role Activities Co-ordinator Full time - 40 hours per week - 5 days per week - Alternate weekends required £14.15 per hour What will Aria Care Offer you? Blue Light Discount Card Holiday & days out discounts Long service awards Recognition programme And much more! The key ingredients to being a successful Wellbeing Coordinator is t…",N/A,N/A,N/A
40,Restaurant Crew Member,2025-07-21T13:32:40Z,N/A,N/A,N/A,"Rainworth, Mansfield",On-site,N/A,W hat’ s in it for you? [Hourly rates: 16-17 years £7.55 | 18-20 years £10.00 | 21 £12.21] Get trained to run a shift and you could earn £12.71 per hour whilst doing so! Flexible hours Lots of progression opportunities. Grow your career with us! A supportive team who’ll look out for you Access our internal learning platform THRIVE at BK. Drive your own development! Access to premium retail discounts from many of your favourite retailers 10% off with a national gym chain 70% off food and drink f…,Adzuna,2025-07-21,Burger King UK,N/A,N/A,Hospitality & Catering Jobs,W hat’ s in it for you? [Hourly rates: 16-17 years £7.55 | 18-20 years £10.00 | 21 £12.21] Get trained to run a shift and you could earn £12.71 per hour whilst doing so! Flexible hours Lots of progression opportunities. Grow your career with us! A supportive team who’ll look out for you Access our internal learning platform THRIVE at BK. Drive your own development! Access to premium retail discounts from many of your favourite retailers 10% off with a national gym chain 70% off food and drink f…,N/A,N/A,N/A
41,Sous Chef - Sponsorship Available,2025-07-21T13:32:39Z,N/A,N/A,N/A,"Kingsland, Shrewsbury",On-site,N/A,"Are you passionate about creating culinary masterpieces? As a Sous Chef at The Armoury , you will be an integral part of our kitchen team, contributing to the creation of exceptional dining experiences. The role involves collaborating closely with the Head Chef, leading kitchen operations, and maintaining high standards of food quality, presentation, and service. We are able to offer sposnorship for this position, so if you are an existing Sous Chef on a Skilled Worker visa looking to extend yo…",Adzuna,2025-07-21,Brunning & Price,N/A,N/A,Hospitality & Catering Jobs,"Are you passionate about creating culinary masterpieces? As a Sous Chef at The Armoury , you will be an integral part of our kitchen team, contributing to the creation of exceptional dining experiences. The role involves collaborating closely with the Head Chef, leading kitchen operations, and maintaining high standards of food quality, presentation, and service. We are able to offer sposnorship for this position, so if you are an existing Sous Chef on a Skilled Worker visa looking to extend yo…",N/A,N/A,N/A
42,General Manager,2025-07-21T13:30:47Z,N/A,43000 - 60000,N/A,"Cambridge, Cambridgeshire",On-site,N/A,"General Manager – Flexible Workspace | Cambridge Hours: Monday to Friday, 8:30am – 5:30pm (40 hours/week) Salary: £43,000 per annum  excellent benefits - On target earnings £60,000 About the Company Join a pioneering force in the flexible workspace revolution. For over 25 years, this innovative property management company has been transforming underutilised office spaces into thriving hubs for entrepreneurs, SMEs, and growing businesses. With a nationwide footprint and a unique client-occupier …",Adzuna,2025-07-21,Pertemps,N/A,N/A,Sales Jobs,"General Manager – Flexible Workspace | Cambridge Hours: Monday to Friday, 8:30am – 5:30pm (40 hours/week) Salary: £43,000 per annum  excellent benefits - On target earnings £60,000 About the Company Join a pioneering force in the flexible workspace revolution. For over 25 years, this innovative property management company has been transforming underutilised office spaces into thriving hubs for entrepreneurs, SMEs, and growing businesses. With a nationwide footprint and a unique client-occupier …",N/A,permanent,N/A
43,Accounting Intern,2025-07-21T13:30:33Z,N/A,25000 - 30000,N/A,"London, UK",On-site,N/A,"Graduate Accounting Intern (12 month internship) Salary between £25k - £30k, Graduate opportunity with an ASAP start date. A prominent European mid-market value investment firm with a robust legacy in the DACH and Nordic regions, is currently seeking an Accounting Intern. Operating with offices in all over Europe and in China our client stands out for its sector specialisation and a diverse team of over 350 professionals. People First Success here is propelled by highly diverse, solutions-orien…",Adzuna,2025-07-21,The Opportunity Hub UK,N/A,N/A,Accounting & Finance Jobs,"Graduate Accounting Intern (12 month internship) Salary between £25k - £30k, Graduate opportunity with an ASAP start date. A prominent European mid-market value investment firm with a robust legacy in the DACH and Nordic regions, is currently seeking an Accounting Intern. Operating with offices in all over Europe and in China our client stands out for its sector specialisation and a diverse team of over 350 professionals. People First Success here is propelled by highly diverse, solutions-orien…",N/A,permanent,N/A
44,High Yield & Distressed Fixed Income Sales Trader,2025-07-21T13:30:32Z,N/A,70000 - 120000,N/A,"London, UK",On-site,N/A,"High Yield & Distressed Fixed Income Sales – Sales & Trading Location: London – Hybrid/Office-based Salary: £70,000 – £120,000 per year, depending on experience An exceptional opportunity to join a dynamic investment boutique specialising in high-yield bonds, distressed/defaulted debt, and structured products. Company Overview This independent investment firm is a leading player in high-yield and distressed fixed income trading, with a strong focus on sourcing illiquid securities in global dist…",Adzuna,2025-07-21,The Opportunity Hub UK,N/A,N/A,Accounting & Finance Jobs,"High Yield & Distressed Fixed Income Sales – Sales & Trading Location: London – Hybrid/Office-based Salary: £70,000 – £120,000 per year, depending on experience An exceptional opportunity to join a dynamic investment boutique specialising in high-yield bonds, distressed/defaulted debt, and structured products. Company Overview This independent investment firm is a leading player in high-yield and distressed fixed income trading, with a strong focus on sourcing illiquid securities in global dist…",N/A,permanent,N/A
45,Senior Principle Designer / CDM Advisor,2025-07-21T13:30:27Z,N/A,51619.07 - 51619.07,N/A,"The City, Central London",On-site,N/A,"Sitting as part of the PIB Risk Management Team (formerly known as Bailey Garner Limited), the Senior Principal Designer & CDM Advisor will be required to deliver on a range of CDM projects and have leadership skills to manage a team in line with business aims and objectives. As Senior PD/CDMA you will need to maintain an effective communication link with stakeholders to ensure coordination of services are delivered efficiently and effectively. The role will also provide support to the PIB Risk…",Adzuna,2025-07-21,hireful,N/A,N/A,Trade & Construction Jobs,"Sitting as part of the PIB Risk Management Team (formerly known as Bailey Garner Limited), the Senior Principal Designer & CDM Advisor will be required to deliver on a range of CDM projects and have leadership skills to manage a team in line with business aims and objectives. As Senior PD/CDMA you will need to maintain an effective communication link with stakeholders to ensure coordination of services are delivered efficiently and effectively. The role will also provide support to the PIB Risk…",N/A,permanent,N/A
46,PPC Media Buyer,2025-07-21T13:30:25Z,N/A,30000 - 35000,N/A,"London, UK",On-site,N/A,"Ready to dive into the dynamic realm of PPC ads with the flair of a true digital conjurer? Look no further – The Opportunity Hub UK is your launchpad to this exciting role as a PPC Media Buyer extraordinaire. We're here to guide you to an incredible opportunity where your PPC prowess and penchant for all things digital will shine brighter than a disco ball at a tech-themed dance party! What's in the Cards for You: Buckle up, because we're about to whisk you into a world of marketing marvels. Yo…",Adzuna,2025-07-21,The Opportunity Hub UK,N/A,N/A,"PR, Advertising & Marketing Jobs","Ready to dive into the dynamic realm of PPC ads with the flair of a true digital conjurer? Look no further – The Opportunity Hub UK is your launchpad to this exciting role as a PPC Media Buyer extraordinaire. We're here to guide you to an incredible opportunity where your PPC prowess and penchant for all things digital will shine brighter than a disco ball at a tech-themed dance party! What's in the Cards for You: Buckle up, because we're about to whisk you into a world of marketing marvels. Yo…",N/A,permanent,N/A
47,Social Media / Admin Assistant (Part-Time),2025-07-21T13:30:24Z,N/A,20000 - 25000,N/A,"London, UK",On-site,N/A,"Social Media / Admin Assistant (Part-Time) - Elephant and Castle, Central London Are you a savvy social media enthusiast with a knack for administration? This part-time role as a Social Media / Admin Assistant could be your perfect fit. Company Overview: Located in the heart of Central London, this award winning independent estate agency is renowned for its friendly and conscientious approach. They understand that they are handling their clients' homes and life savings, which is why their dedic…",Adzuna,2025-07-21,The Opportunity Hub UK,N/A,N/A,Part time Jobs,"Social Media / Admin Assistant (Part-Time) - Elephant and Castle, Central London Are you a savvy social media enthusiast with a knack for administration? This part-time role as a Social Media / Admin Assistant could be your perfect fit. Company Overview: Located in the heart of Central London, this award winning independent estate agency is renowned for its friendly and conscientious approach. They understand that they are handling their clients' homes and life savings, which is why their dedic…",N/A,permanent,N/A
48,Clerical Officer - Radiology,2025-07-21T13:30:24Z,N/A,2 - 2,N/A,"Overtown, Wishaw",On-site,N/A,"The Role The post holder will provide comprehensive clerical support to the Radiology Department ensuring a high quality service is maintained to patients and staff. The post holder will undertake the reception of Out Patients and Accident and Emergency patients requiring x-ray examinations, giving advice and instruction to patients and relatives when necessary. Dealing compassionately and calmly with distressed or aggressive patients ensuring a speedy resolution to any problems that may occur.…",Adzuna,2025-07-21,NHS Scotland,N/A,N/A,Healthcare & Nursing Jobs,"The Role The post holder will provide comprehensive clerical support to the Radiology Department ensuring a high quality service is maintained to patients and staff. The post holder will undertake the reception of Out Patients and Accident and Emergency patients requiring x-ray examinations, giving advice and instruction to patients and relatives when necessary. Dealing compassionately and calmly with distressed or aggressive patients ensuring a speedy resolution to any problems that may occur.…",N/A,permanent,N/A
49,Head of Occupational Health,2025-07-21T13:30:22Z,N/A,74003 - 74003,N/A,"Darnick, Melrose",On-site,N/A,"OUR VALUES IN ACTION • Care and Compassion • Quality and Teamwork • Dignity and Respect • Openness, honesty and responsibility NHS Borders is looking to permanently appoint to a Head of Occupational Health role to help the organisation fulfil its statutory obligations and to provide strong & visible leadership for the Staff Health & Wellbeing agenda. NHS Borders has recently adopted a new organisational strategy which is ambitious in its strategic plans for the period 2025-2030. It puts people …",Adzuna,2025-07-21,NHS Scotland,N/A,N/A,Healthcare & Nursing Jobs,"OUR VALUES IN ACTION • Care and Compassion • Quality and Teamwork • Dignity and Respect • Openness, honesty and responsibility NHS Borders is looking to permanently appoint to a Head of Occupational Health role to help the organisation fulfil its statutory obligations and to provide strong & visible leadership for the Staff Health & Wellbeing agenda. NHS Borders has recently adopted a new organisational strategy which is ambitious in its strategic plans for the period 2025-2030. It puts people …",N/A,permanent,N/A
50,221655 Community Mental Health Nurse (AP),2025-07-21T13:30:22Z,N/A,41608 - 41608,N/A,"Edinburgh City Centre, Edinburgh",On-site,N/A,"NHS Scotland is committed to encouraging equality and diversity among our workforce and eliminating unlawful discrimination. The aim is for our workforce to be truly representative and for each employee to feel respected and able to give their best. To this end, NHS Scotland welcomes applications from all sections of society. We are recruiting to the post of Community Mental Health Nurse. We are looking for an inspirational leader who is caring, compassionate and motivated to join our strong, e…",Adzuna,2025-07-21,NHS Scotland,N/A,N/A,Healthcare & Nursing Jobs,"NHS Scotland is committed to encouraging equality and diversity among our workforce and eliminating unlawful discrimination. The aim is for our workforce to be truly representative and for each employee to feel respected and able to give their best. To this end, NHS Scotland welcomes applications from all sections of society. We are recruiting to the post of Community Mental Health Nurse. We are looking for an inspirational leader who is caring, compassionate and motivated to join our strong, e…",N/A,permanent,N/A
